# canonical skill; English, Slovenian and German aliases separated by |
Teaching;teacher|teaching|educator|instructor|ucitelj|uciteljica|poucevanje|lehrer|lehrerin|unterricht
Nursing;nurse|nursing|medicinska sestra|zdravstvenik|krankenpfleger|krankenschwester|pflegefachkraft
Patient Care;patient care|nega pacientov|oskrba pacientov|patientenpflege
Elderly Care;elderly care|senior care|oskrba starejsih|altenpflege
Home Care;home care|nega na domu|hauspflege|hauskrankenpflege
Childcare;childcare|varstvo otrok|kinderbetreuung
Early Childhood Education;kindergarten teacher|preschool teacher|vzgojitelj|vzgojiteljica|kindergartenpaedagoge
Special Education;special education|specialni pedagog|sonderpaedagogik
Accounting;accountant|accounting|racunovodja|racunovodstvo|buchhalter|buchhaltung
Bookkeeping;bookkeeper|bookkeeping|knjigovodja|knjigovodstvo|buchhaltung
Sales;sales|salesperson|prodajalec|prodajalka|verkauf|verkaeufer|verkaeuferin
Retail Sales;retail sales|prodaja na drobno|einzelhandel
Retail Cashier;cashier|blagajnik|blagajnicarka|kassierer|kassiererin
Customer Service;customer service|podpora strankam|delo s strankami|kundenservice
Reception Work;receptionist|reception|receptor|receptorka|rezeptionist|rezeptionistin|empfang
Hospitality;hospitality|gostinstvo|gastgewerbe|hotellerie
Restaurant Service;waiter|waitress|natakar|natakarica|kellner|kellnerin|restaurant service
Bar Service;bartender|barman|bar service|delo v baru|barservice
Cooking;cook|chef|kuhar|kuharica|koch|koechin
Baking;baker|peka|pek|pekovka|baecker|baeckerin
Cleaning;cleaner|cleaning|cistilec|cistilka|reinigung|reinigungskraft
Housekeeping;housekeeping|sobarka|zimmermaedchen|hauswirtschaft
Warehouse Operations;warehouse|warehouse worker|skladisce|skladiscnik|lager|lagerarbeiter
Order Picking;order picking|komisioniranje|komisionar|kommissionierung|kommissionierer
Forklift Operation;forklift|vilicar|viličar|gabelstapler|staplerfahrer
Packaging;packaging|pakiranje|pakirnica|verpackung
Production Work;production worker|proizvodnja|proizvodni delavec|produktion|produktionsmitarbeiter
Machine Operation;machine operator|strojnik|upravljalec stroja|maschinenbediener|maschinenfuehrer
Assembly;assembly|montaza|montazer|montage|monteur
Construction Work;construction|gradbenistvo|gradbeni delavec|bau|bauarbeiter
Masonry;mason|zidar|zidarka|maurer|maurerin
Carpentry;carpenter|mizar|mizarstvo|tischler|schreiner
Electrical Work;electrician|elektricar|elektro dela|elektriker
Plumbing;plumber|vodovodar|klempner|installateur
Welding;welder|varilec|varilka|schweisser|schweisserin
Mechanical Repair;mechanic|mehanik|mechaniker
Automotive Repair;car mechanic|avtomehanik|kfz mechaniker
Driving;driver|voznik|voznica|fahrer|fahrerin
Truck Driving;truck driver|voznik tovornjaka|lkw fahrer|berufskraftfahrer
Bus Driving;bus driver|voznik avtobusa|busfahrer
Delivery Driving;delivery driver|dostavljalec|dostavljalka|lieferfahrer|zusteller
Postal Delivery;postman|postal delivery|postar|postarka|brieftraeger|zusteller
Security Work;security guard|varnostnik|varnostnica|sicherheitsmitarbeiter
Administration;administrator|administration|administrator|administratorka|verwaltung|sachbearbeiter
Human Resources;human resources|kadrovanje|personalwesen
Management;manager|management|vodja|vodenje|manager|leitung
Project Management;project manager|vodenje projektov|projektni vodja|projektmanagement|projektleiter
Finance;finance|financnik|finance|finanzen
Legal Work;lawyer|legal work|pravnik|pravnica|jurist|juristin
Social Work;social worker|socialno delo|socialni delavec|sozialarbeit|sozialarbeiter
Physiotherapy;physiotherapist|fizioterapija|fizioterapevt|physiotherapie|physiotherapeut
Pharmacy;pharmacist|lekarna|farmacevt|apotheke|apotheker
Laboratory Diagnostics;laboratory|lab technician|laboratorij|laborant|labordiagnostik|labormitarbeiter
Agriculture;agriculture|kmetijstvo|kmet|landwirtschaft|landwirt
Gardening;gardener|vrtnar|vrtnarjenje|gaertner|gartenbau
Forestry;forestry|gozdarstvo|gozdar|forstwirtschaft|forstwirt
Hairdressing;hairdresser|frizer|frizerka|friseur|friseurin
Beauty Services;beautician|kozmeticarka|kozmetika|kosmetik|kosmetikerin
Graphic Design;graphic designer|graficni oblikovalec|grafikdesign|grafikdesigner
Information Technology;information technology|informatika|informationstechnik
IT Support;it support|technical support|tehnicna podpora|it podpora|it support|technischer support
Software Development;software developer|programmer|programer|razvijalec programske opreme|softwareentwickler
API Development;api development|rest api|razvoj api|api entwicklung
C#;c sharp
.NET;dotnet
ASP.NET Core;asp.net core|asp net core|asp.net
Entity Framework;entity framework|ef core|entity framework core
SQL Server;sql server
REST API;rest api|rest apis|restful api
Git;github
Microsoft Azure;azure
RabbitMQ;rabbitmq|rabbit mq
Unit Testing;unit tests|unit testing|xunit
Integration Testing;integration tests|integration testing
German Language;german|nemscina|nemški jezik|deutsch|deutsche sprache
Slovenian Language;slovenian|slovenscina|slovenski jezik|slowenisch
English Language;english|anglescina|angleski jezik|englisch
Active Directory;active directory|imeniska storitev|verzeichnisdienst
Agile Working;agile working|agilno delo|agiles arbeiten
Aircraft Maintenance;aircraft mechanic|aircraft maintenance|vzdrzevanje letal|flugzeugwartung
Alarm Systems;alarm systems|alarmni sistemi|alarmanlagen
Anesthesiology;anesthesiology|anesteziologija|anaesthesiologie
Animal Care;animal care|oskrba zivali|tierpflege
Ansible;ansible
Aquaculture;aquaculture|ribogojstvo|aquakultur
Art Education;art teacher|likovna vzgoja|kunsterziehung
Asian Cuisine;asian cuisine|azijska kuhinja|asiatische kueche
Audio Video Systems;audio video systems|av sistemi|av systeme
Auditing;auditor|auditing|revizija|wirtschaftspruefung
Autism Support;autism support|podpora osebam z avtizmom|autismusbegleitung
Automation;automation|avtomatizacija|automatisierung
Backup Administration;backup administration|upravljanje varnostnih kopij|backup administration
Biology;biology|biologija|biologie
Bodywork Repair;bodywork repair|kleparstvo|karosseriereparatur
Business Education;business education|poslovno izobrazevanje|wirtschaftspaedagogik
Business Management;business management|poslovno upravljanje|unternehmensfuehrung
Call Center;call center|klicni center|callcenter
Cardiology;cardiology|kardiologija|kardiologie
Cargo Handling;cargo handling|ravnanje s tovorom|frachtumschlag
Cash Handling;cash handling|delo z gotovino|bargeldabwicklung
Chemistry;chemistry|kemija|chemie
Chimney Sweeping;chimney sweep|dimnikar|rauchfangkehrer
CI/CD;ci cd|continuous integration|continuous delivery
Cloud Computing;cloud computing|racunalnistvo v oblaku|cloud computing
CNC Machining;cnc machining|cnc obdelava|cnc bearbeitung
Communication;communication|komunikacija|kommunikation
Complaint Management;complaint management|upravljanje pritozb|beschwerdemanagement
Computer Science;computer science|racunalnistvo|informatik
Computer Science Education;computer science teacher|poucevanje racunalnistva|informatikunterricht
Concrete Formwork;concrete formwork|opaz za beton|betonschalung
Controlling;controlling|kontroling|controlling
Counseling;counselor|counseling|svetovanje|beratung
Crane Operation;crane operator|zerjavist|kranfuehrer
CRM Systems;crm systems|crm sistemi|crm systeme
Croatian Language;croatian|hrvascina|kroatisch
Cultural Guiding;cultural guide|kulturno vodenje|kulturfuehrung
Curation;curator|kuratorstvo|kuration
Cybersecurity;cybersecurity|kibernetska varnost|cybersicherheit
Cycling Delivery;bicycle courier|kolesarski dostavljalec|fahrradkurier
Data Analysis;data analyst|data analysis|analiza podatkov|datenanalyse
Debt Collection;debt collection|izterjava dolgov|inkasso
Dental Care;dental care|zobozdravstvo|zahnpflege
Dermatovenerology;dermatology|dermatovenerologija|dermatologie
DevOps;devops
DHCP;dhcp
Dialysis Care;dialysis care|dializna nega|dialysepflege
Dietary Cooking;dietary cooking|dietna kuhinja|diaetkueche
Dietetics;dietitian|dietetics|dietetika|diaetetik
Digital Archiving;digital archiving|digitalno arhiviranje|digitale archivierung
Dispatching;dispatcher|dispecer|disponent
DNS;dns
Docker;docker
Document Management;document management|upravljanje dokumentov|dokumentenmanagement
Driving Instruction;driving instructor|ucitelj voznje|fahrlehrer
Driving License Category B;category b driving license|voznisko dovoljenje kategorije b|fuehrerschein klasse b
Driving License Category C;category c driving license|voznisko dovoljenje kategorije c|fuehrerschein klasse c
Driving License Category CE;category ce driving license|voznisko dovoljenje kategorije ce|fuehrerschein klasse ce
Driving License Category D;category d driving license|voznisko dovoljenje kategorije d|fuehrerschein klasse d
Driving License Category E;category e driving license|voznisko dovoljenje kategorije e|fuehrerschein klasse e
Driving License Category F;category f driving license|voznisko dovoljenje kategorije f|fuehrerschein klasse f
Drywall Installation;drywall installer|suhomontaza|trockenbau
Educational Programs;educational programs|izobrazevalni programi|bildungsprogramme
Electrical Engineering;electrical engineer|elektrotehnika|elektrotechnik
Emergency Medicine;emergency medicine|urgentna medicina|notfallmedizin
E-Mobility;e mobility|elektromobilnost|elektromobilitaet
Endoscopy;endoscopy|endoskopija|endoskopie
Energy Systems;energy systems|energetski sistemi|energiesysteme
Event Coordination;event coordinator|organizacija dogodkov|veranstaltungskoordination
Excavator Operation;excavator operator|bagerist|baggerfahrer
Exhibition Supervision;exhibition supervision|nadzor razstave|ausstellungsaufsicht
Eyelash Styling;eyelash styling|oblikovanje trepalnic|wimpernstyling
