id,JobId,SkillId
js-000001,job-00001,sk-cooking
js-000002,job-00001,sk-pizza-preparation
js-000003,job-00002,sk-cooking
js-000004,job-00003,sk-cooking
js-000005,job-00004,sk-cooking
js-000006,job-00005,sk-cooking
js-000007,job-00006,sk-cooking
js-000008,job-00007,sk-cooking
js-000009,job-00007,sk-pizza-preparation
js-000010,job-00007,sk-slovenian-language
js-000011,job-00008,sk-cooking
js-000012,job-00009,sk-cooking
js-000013,job-00010,sk-cooking
js-000014,job-00010,sk-food-preparation
js-000015,job-00011,sk-cooking
js-000016,job-00011,sk-food-preparation
js-000017,job-00011,sk-kitchen-management
js-000018,job-00011,sk-menu-planning
js-000019,job-00012,sk-cooking
js-000020,job-00012,sk-food-preparation
js-000021,job-00013,sk-cooking
js-000022,job-00013,sk-food-preparation
js-000023,job-00013,sk-hospitality
js-000024,job-00014,sk-cooking
js-000025,job-00014,sk-food-preparation
js-000026,job-00014,sk-food-safety
js-000027,job-00014,sk-haccp
js-000028,job-00014,sk-hospitality
js-000029,job-00015,sk-cooking
js-000030,job-00015,sk-food-preparation
js-000031,job-00015,sk-inventory-management
js-000032,job-00015,sk-menu-planning
js-000033,job-00016,sk-cooking
js-000034,job-00017,sk-cooking
js-000035,job-00017,sk-dietary-cooking
js-000036,job-00017,sk-food-preparation
js-000037,job-00017,sk-food-safety
js-000038,job-00017,sk-haccp
js-000039,job-00017,sk-menu-planning
js-000040,job-00018,sk-cooking
js-000041,job-00018,sk-food-preparation
js-000042,job-00019,sk-cooking
js-000043,job-00019,sk-kitchen-management
js-000044,job-00020,sk-cooking
js-000045,job-00020,sk-food-preparation
js-000046,job-00020,sk-hospitality
js-000047,job-00021,sk-cooking
js-000048,job-00021,sk-food-preparation
js-000049,job-00021,sk-food-safety
js-000050,job-00021,sk-haccp
js-000051,job-00021,sk-hospitality
js-000052,job-00021,sk-kitchen-management
js-000053,job-00021,sk-slovenian-language
js-000054,job-00022,sk-cooking
js-000055,job-00022,sk-food-preparation
js-000056,job-00022,sk-kitchen-management
js-000057,job-00023,sk-cooking
js-000058,job-00023,sk-food-preparation
js-000059,job-00024,sk-cooking
js-000060,job-00024,sk-food-preparation
js-000061,job-00024,sk-food-safety
js-000062,job-00024,sk-haccp
js-000063,job-00024,sk-inventory-management
js-000064,job-00025,sk-cooking
js-000065,job-00025,sk-food-preparation
js-000066,job-00025,sk-food-safety
js-000067,job-00025,sk-haccp
js-000068,job-00025,sk-hospitality
js-000069,job-00025,sk-inventory-management
js-000070,job-00026,sk-cooking
js-000071,job-00026,sk-dietary-cooking
js-000072,job-00026,sk-food-preparation
js-000073,job-00027,sk-cooking
js-000074,job-00027,sk-food-preparation
js-000075,job-00028,sk-cooking
js-000076,job-00029,sk-cooking
js-000077,job-00029,sk-dietary-cooking
js-000078,job-00029,sk-food-preparation
js-000079,job-00029,sk-inventory-management
js-000080,job-00030,sk-cooking
