id,jobname,companyname,description,requiredExperience,predictedMinSalary,predictedMaxSalary,minSalary,maxSalary,sourceWebsite,datePosted,createdAt,updatedAt,LocationId,ExperienceLevelId,EducationLevelId,status,sourceJobKey
job-00001,Kuhar A'la carte,Lir d.o.o.,"V izkušeno ekipo sprejmemo dodatnega kuharja oz. izkušenega pomočnika, ki si želi napredovanja. Nudimo dobre in urejene delovne pogoje. Oba lokala Aroma Trattoria & Pizzeria (Ribji trg 2) in Meat Po",nan,,,,,https://jobviewtrack.com/v2/Iicw-W60TUhuH5a1spqur7a06iiIYgjeHEqN4OcAeCeHoKThN93lF4ktoXdGGjZlpFkHEszgrC3VxOok-BAw9rM3cCtVUZA9lMuEOz0fN60U74gGXN4Dcl4S5f622UFY4Qf-A-zMjBWnJRDMunAngeAP1kTIxPU-e9jWO-8CbFfcwUIsCrsTXAJwCMRVXxPjQcHmUHbEJ6E8KkyJ3KfmfphuXxi-NP7yESrH5LI5GMc,2026-05-03,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-mid,edu-not-specified,ACTIVE,"lir d.o.o.|kuhar a'la carte|ljubljana, central slovenia"
job-00002,Kuhar,Pizza Valjček,"Potrebujemo samostojnega kuharja za ala carte kuhinjo. Pogoj: timsko delo,urejenost,skrb za cistoco,... Zaposlitev za nedolocen cas,lahko tudi preko s.p. Klicite samo resni in zainteresirani",nan,,,,,https://jobviewtrack.com/v2/4asf3jslnl7ap38kmiu-3moJXxRbVRtSx1d0e_3uVIVzY5ZiQdSl283pFI974BQJYuZmC9FqG_8WuM-kkJD9dZ0siOtzlWevptzrS0JkO13Nu0aPsNqFEBrkd3g3aMjnDpdVWkF27Kg92vYDex-wjdCzy5x_aSNRlPa3l6KeWBuBVlK9rgnydqV3zjmuUlJHqbf5iK5yjOoMK_2dOTmkraeyuUJwGd-id1hrChZPEuw,2026-04-26,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-komenda-central-slovenia,exp-not-specified,edu-not-specified,ACTIVE,"pizza valjček|kuhar|komenda, central slovenia"
job-00003,"Kuhar, Ljubljana",nan,", pri samem delu pa vas podpirajo izkušeni mentorji in sodelavci. Dobili boste vsa orodja, da postanete XXXL kuhar . Potrebujete",nan,,,,,https://jobviewtrack.com/v2/d9b1Mv6kSgS9VuvTq3Ls-sLinCnw6-s8sHWfG9Byz2dcbAlSzc1K_tHdAckrrG5dUtmmitw6VmSBWPCfcp9kQSyZiC5CswEmfEZa1B89CbJIavO90VlrPVdZOCI98weX2q0CA2RoNlPirmsJ9L4Qaahw1SkA8V9b1il0NUt_GhGYuFtQE_MNaISlrPUPUQKXDDU3VqSnbzgVVbxZaohwVbl_SEJ7vWS-efaOsgwqQlY,2026-05-19,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-mid,edu-not-specified,ACTIVE,"null|kuhar, ljubljana|ljubljana, central slovenia"
job-00004,Kuhar (m/ž),Hotel Mons,"izkušnje kot samostojen kuhar , raznoliko znanje postopkov priprav, poznavanje stroke in kulinarike. Posebni pogoji",nan,,,,,https://jobviewtrack.com/v2/ipyp3igQRft0UscgJDNI3BNGlFIO47Ozko1pp2vw4miu_uLmukLY8Z6YVUZYfwO29OSRmSVeRhz47mOGjGSfqxhf1Wk3310Qq-EI2QSMuCfwZneGGPop_laljsQaH6dpj9wv3ca10oV2B1tRsv3EQKLYjE-wezNjMulVooMqe4M1E84QvgZE3XqilKeLCNQvsY6hO1yrUKtUp9yARo8SSwUZ6U78YwMOj-n-HplAHdY,2026-05-19,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-mid,edu-not-specified,ACTIVE,"hotel mons|kuhar (m/ž)|ljubljana, central slovenia"
job-00005,Kuhar (m/ž),LEVHO HOTEL d.o.o.,uživajo v čudovitem razgledu na mesto in park. K sodelovanju vabimo novega sodelavca za delovno mesto KUHAR m/ž Opis,nan,,,,,https://jobviewtrack.com/v2/l27WobSa3w0EHdvHwWDE1iiRPoOTIGfEiDD17w_c9KDDRuKpAoKFcTS23WYHXrulnFXh2LaZ4SEETBMTIuotiMal9L5OwIs4ZKQTa0Olp6don2k3wdeefwAszxbYN4epsMiJGoKYMjpl118jMIs_QEy-PbX7LXV26ao_7L_kZeBHFur44pMBeRYGLxxDmz4xGv-3XLo6sVX0VbfRbQaZCytiSq-QecPMgP_cZlP-sWw,2026-05-10,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-not-specified,edu-not-specified,ACTIVE,"levho hotel d.o.o.|kuhar (m/ž)|ljubljana, central slovenia"
job-00006,Kuhar (m/ž),"Barcelo, d.o.o.","kot kuhar . Pozna osnovne in sodobne kuharske tehnike. Ima občutek za okus, detajle in prezentacijo. Je timski igralec",nan,,,,,https://jobviewtrack.com/v2/G4ZqEDvPWQurdj_AVWCLmWBUL0zS3FuuDL_2bSdXMT7kf7gi7IMTTDhVqfWI-clXe1I8ugnzOhqQEEpEGvfLvH-wGrxil6QVrR-jS4d8WNO6er6nBXkV5JwqXZ4RbxxXOM1b8LJeHb4EVaBXQ2tu61J7yvzg-Y1zRXizQl5mlUO49tCQV0sHE_QV1rm3ZrwfNh_6FOzVc7iE-cvdlycvKlAzcHtx6b2Jb82sWAQo41Y,2026-05-10,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-not-specified,edu-not-specified,ACTIVE,"barcelo, d.o.o.|kuhar (m/ž)|ljubljana, central slovenia"
job-00007,"KUHAR-PICOPEK - KAVBOJSKA DEŽELA-LESKOVEC, VIŠNJA GORA - M/Ž","Gostinske storitve in trgovina, Joze Coz s.p.",KUHAR - PICOPEK Izobrazba: srednja poklicna; Živilska tehnologija Znanje jezikov: slovenski jezik: razumevanje,nan,,,,,https://jobviewtrack.com/v2/Ym_53Ah2S-yYvF9eAFt83C8Y5bhOR9Us-RQ3x7sO7xxws6gofw2bLCQmyxpCNDzJqKHdeRH_RrS32_kT653V2VaYcyv4l7Lup5BOxZZhloYBU7gqrVYsLSWbHWToNHo0HWLVxPPAvV_-iEFqbsgbpwRxfxRBBQMMjbDbTs0sVcAvmfVT1zFXcRK_y1o7ZldQp7-S4djo6EGUAp7CaJlnPossg1A57nT8M4t2nM0_UcQ,2026-04-29,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-grosuplje-central-slovenia,exp-not-specified,edu-secondary-vocational,ACTIVE,"gostinske storitve in trgovina, joze coz s.p.|kuhar-picopek - kavbojska dežela-leskovec, višnja gora - m/ž|grosuplje, central slovenia"
job-00008,Kuhar (m/ž),Adecco,"možnost dolgoročne kariere in strokovnega razvoja? Za vas imamo odlično priložnost na delovnem mestu "" Kuhar (m",nan,,,,,https://jobviewtrack.com/v2/3w_CKjhMnzWSctDsrXIjk_k5n6oJyZtyGAkMggC2XjBr3pNrppTXDCGXfmWy05DsbsZ9lnmY4Xw4eyJMazaSSxqIoYioZeotSYLXO60stNXl4vTIHMl0M8FrjE9Hqv6NSSZlbOuBKwf6jURfP07fcbabl3wh0KulEgcdyTIcFaFrFSdTsYbRxaWuYnAgMDwD3VUoOO7WcIjwHEpQ4Ip9IsTwz-gycYwLdR0-Etut6z4,2026-04-24,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-not-specified,edu-not-specified,ACTIVE,"adecco|kuhar (m/ž)|ljubljana, central slovenia"
job-00009,KUHAR (M/Ž) – DOMŽALE,HRM rešitve,"Prosto delovno mesto KUHAR (M/Ž) – DOMŽALE Naziv delovnega mesta: KUHAR (M/Ž) – DOMŽALE Področje..., dom starejših občanov, iščemo novega sodelavca za delovno mesto KUHAR (M/Ž). Na delovnem mestu boste opravljali naslednje naloge",nan,,,,,https://jobviewtrack.com/v2/JcMdff5DoZOtMKNCjlRDbMXH1mZC_Jrpny4ObYIdOuIp0WMHptfbV83u3P3pP-44J3eULwLCrNCkKBi3vHV4EtaNQbi90oUXZ0oGUq6sAWl9P5hXwpZcG_YaA5pbVCcyfcuWNGlN17gl5sBY7dmrmRd6e-LG41XO92JLXe9lEOmrZgas0hUrFupBZaanTwzgiH5kcOUgxrjmzNMNU6auHx-zf64WCalZmF6P45PDP9Y,2026-04-15,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-domzale-central-slovenia,exp-senior,edu-not-specified,ACTIVE,"hrm rešitve|kuhar (m/ž) – domžale|domžale, central slovenia"
job-00010,KUHAR - M/Ž,"REGISTAN, hotelirske storitve, d.o.o.",PRIPRAVA JEDI Izobrazba: osnovnošolska Drugo: Certifikat kuharja.,nan,,,,,https://jobviewtrack.com/v2/bnty9pKrR3hiAWYzijIqe_6zXdijSFM_ZOEmRNpsXL_f5FoJ9bWoWslVgdNbrcEeHoiyLAXs0Qqda3xyL_-IAz3I0E4orvpX0Zin63z6LFMHnWKW3d1RQadMvo63fVSoGpYY0GITt1mN05aR8kv_f-2Ck0EkC6IHNIHFbitRl9G9IsD5ZOmYYuaiJdOx4WPFuDUG-EuDD-1wJJJbPk0Q8BGFJw_LrPKW0R6VojeUL0c,2026-05-23,2026-05-24T00:00:00,2026-05-24T00:00:00,loc-ljubljana-central-slovenia,exp-not-specified,edu-primary,ACTIVE,"registan, hotelirske storitve, d.o.o.|kuhar - m/ž|ljubljana, central slovenia"
