id,cityDistrict,city,region,country,latitude,longitude
loc-ljubljana-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-komenda-central-slovenia,NULL,Komenda,Central Slovenia,Slovenia,46.2048,14.5384
loc-grosuplje-central-slovenia,NULL,Grosuplje,Central Slovenia,Slovenia,45.9556,14.6589
loc-domzale-central-slovenia,NULL,Domžale,Central Slovenia,Slovenia,46.1377,14.5937
loc-kamnik-central-slovenia,NULL,Kamnik,Central Slovenia,Slovenia,46.2259,14.6121
loc-kranj-upper-carniola-ljubljana-central-slovenia,NULL,Kranj,Upper Carniola,Slovenia,46.2389,14.3556
loc-logatec-central-slovenia,NULL,Logatec,Central Slovenia,Slovenia,45.9144,14.2258
loc-skofja-loka-upper-carniola,NULL,Škofja Loka,Upper Carniola,Slovenia,46.1672,14.3064
loc-kranj-upper-carniola,NULL,Kranj,Upper Carniola,Slovenia,46.2389,14.3556
loc-radovljica-upper-carniola,NULL,Radovljica,Upper Carniola,Slovenia,46.3444,14.1744
loc-upper-carniola,NULL,Upper Carniola,NULL,Slovenia,46.2389,14.3556
loc-velenje-savinja,NULL,Velenje,Savinja,Slovenia,46.3592,15.1103
loc-savinja,NULL,Savinja,NULL,Slovenia,46.2397,15.2677
loc-podcetrtek-savinja,NULL,Podčetrtek,Savinja,Slovenia,46.1569,15.5986
loc-zalec-savinja,NULL,Žalec,Savinja,Slovenia,46.2519,15.1650
loc-sentjur-pri-celju-savinja,NULL,Šentjur pri Celju,Savinja,Slovenia,46.2172,15.3975
loc-slovenske-konjice-savinja,NULL,Slovenske Konjice,Savinja,Slovenia,46.3367,15.4258
loc-mozirje-savinja,NULL,Mozirje,Savinja,Slovenia,46.3394,14.9633
loc-celje-savinja,NULL,Celje,Savinja,Slovenia,46.2397,15.2677
loc-lasko-savinja,NULL,Laško,Savinja,Slovenia,46.1546,15.2356
loc-trebnje-southeast-slovenia,NULL,Trebnje,Southeast Slovenia,Slovenia,45.9042,15.0217
loc-novo-mesto-southeast-slovenia,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-mirna-southeast-slovenia,NULL,Mirna,Southeast Slovenia,Slovenia,45.9553,15.0628
loc-metlika-southeast-slovenia,NULL,Metlika,Southeast Slovenia,Slovenia,45.6472,15.3142
loc-novo-mesto-southeast-slovenia-brezice-lower-sava,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-nova-gorica-gorizia,NULL,Nova Gorica,Gorizia,Slovenia,45.9560,13.6484
loc-ajdovscina-gorizia,NULL,Ajdovščina,Gorizia,Slovenia,45.8871,13.9096
loc-tolmin-gorizia,NULL,Tolmin,Gorizia,Slovenia,46.1857,13.7314
loc-idrija-gorizia,NULL,Idrija,Gorizia,Slovenia,46.0028,14.0306
loc-brezice-lower-sava,NULL,Brežice,Lower Sava,Slovenia,45.9041,15.5919
loc-krsko-lower-sava,NULL,Krško,Lower Sava,Slovenia,45.9592,15.4917
loc-sevnica-lower-sava,NULL,Sevnica,Lower Sava,Slovenia,46.0078,15.3156
loc-postojna-inner-carniola-karst,NULL,Postojna,Inner Carniola-Karst,Slovenia,45.7744,14.2153
loc-cerknica-inner-carniola-karst,NULL,Cerknica,Inner Carniola-Karst,Slovenia,45.7931,14.3625
loc-ilirska-bistrica-inner-carniola-karst,NULL,Ilirska Bistrica,Inner Carniola-Karst,Slovenia,45.5676,14.2457
loc-gornja-radgona-mura,NULL,Gornja Radgona,Mura,Slovenia,46.6733,15.9922
loc-lendava-mura,NULL,Lendava,Mura,Slovenia,46.5649,16.4509
loc-murska-sobota-mura,NULL,Murska Sobota,Mura,Slovenia,46.6625,16.1664
loc-moravske-toplice-mura,NULL,Moravske Toplice,Mura,Slovenia,46.6831,16.2225
loc-crna-na-koroskem-carinthia,NULL,Črna na Koroškem,Carinthia,Slovenia,46.4705,14.8506
loc-dravograd-carinthia,NULL,Dravograd,Carinthia,Slovenia,46.5881,15.0192
loc-ravne-na-koroskem-carinthia,NULL,Ravne na Koroškem,Carinthia,Slovenia,46.5431,14.9692
loc-slovenj-gradec-carinthia,NULL,Slovenj Gradec,Carinthia,Slovenia,46.5103,15.0806
loc-hrpelje-kozina-coastal-karst,NULL,Hrpelje-Kozina,Coastal-Karst,Slovenia,45.6097,13.9356
loc-trbovlje-central-sava,NULL,Trbovlje,Central Sava,Slovenia,46.1550,15.0533
loc-zagorje-ob-savi-central-sava,NULL,Zagorje ob Savi,Central Sava,Slovenia,46.1342,14.9964
loc-medvode-central-slovenia,NULL,Medvode,Central Slovenia,Slovenia,46.1422,14.4111
loc-central-slovenia,NULL,Central Slovenia,NULL,Slovenia,46.0569,14.5058
loc-naklo-upper-carniola,NULL,Naklo,Upper Carniola,Slovenia,46.2728,14.3172
loc-ziri-upper-carniola,NULL,Žiri,Upper Carniola,Slovenia,46.0422,14.1072
loc-cerklje-na-gorenjskem-upper-carniola,NULL,Cerklje na Gorenjskem,Upper Carniola,Slovenia,46.2542,14.4886
loc-zelezniki-upper-carniola-skofja-loka-upper-carniola,NULL,Železniki,Upper Carniola,Slovenia,46.2247,14.1725
loc-drava,NULL,Drava,NULL,Slovenia,46.5547,15.6459
loc-lenart-drava,NULL,Lenart,Drava,Slovenia,46.5761,15.8314
loc-maribor-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-zrece-savinja,NULL,Zreče,Savinja,Slovenia,46.3822,15.3792
loc-smarje-pri-jelsah-savinja,NULL,Šmarje pri Jelšah,Savinja,Slovenia,46.2272,15.5192
loc-nazarje-savinja,NULL,Nazarje,Savinja,Slovenia,46.3178,14.9467
loc-ribnica-southeast-slovenia,NULL,Ribnica,Southeast Slovenia,Slovenia,45.7386,14.7275
loc-zuzemberk-southeast-slovenia,NULL,Žužemberk,Southeast Slovenia,Slovenia,45.8339,14.9292
loc-crnomelj-southeast-slovenia,NULL,Črnomelj,Southeast Slovenia,Slovenia,45.5711,15.1889
loc-southeast-slovenia,NULL,Southeast Slovenia,NULL,Slovenia,45.8011,15.1710
loc-radlje-ob-dravi-carinthia,NULL,Radlje ob Dravi,Carinthia,Slovenia,46.6142,15.2264
loc-sezana-coastal-karst,NULL,Sežana,Coastal-Karst,Slovenia,45.7092,13.8733
loc-central-sava,NULL,Central Sava,NULL,Slovenia,46.1340,14.9960
loc-hrastnik-central-sava,NULL,Hrastnik,Central Sava,Slovenia,46.1461,15.0814
loc-skofljica-central-slovenia,NULL,Škofljica,Central Slovenia,Slovenia,45.9833,14.5767
loc-kranjska-gora-upper-carniola,NULL,Kranjska Gora,Upper Carniola,Slovenia,46.4845,13.7857
loc-sencur-upper-carniola,NULL,Šenčur,Upper Carniola,Slovenia,46.2456,14.4197
loc-jesenice-upper-carniola,NULL,Jesenice,Upper Carniola,Slovenia,46.4367,14.0526
loc-ptuj-drava,NULL,Ptuj,Drava,Slovenia,46.4199,15.8697
loc-dobrna-savinja,NULL,Dobrna,Savinja,Slovenia,46.3375,15.2264
loc-izola-coastal-karst,NULL,Izola,Coastal-Karst,Slovenia,45.5369,13.6619
loc-trzin-central-slovenia,NULL,Trzin,Central Slovenia,Slovenia,46.1333,14.5667
loc-videm-drava-dobrepolje-central-slovenia,NULL,Videm,Drava,Slovenia,46.3689,15.9064
loc-vrhnika-central-slovenia,NULL,Vrhnika,Central Slovenia,Slovenia,45.9661,14.2978
