id,relationshipType,sourceSkillId,targetSkillId
sr-00001,PART_OF,sk-food-preparation,sk-cooking
sr-00002,PART_OF,sk-pizza-preparation,sk-cooking
sr-00003,RELATED_TO,sk-dietary-cooking,sk-cooking
sr-00004,PART_OF,sk-haccp,sk-food-safety
sr-00005,RELATED_TO,sk-food-safety,sk-cooking
sr-00006,RELATED_TO,sk-kitchen-management,sk-cooking
sr-00007,RELATED_TO,sk-menu-planning,sk-cooking
sr-00008,RELATED_TO,sk-hospitality,sk-customer-service
sr-00009,RELATED_TO,sk-customer-service,sk-sales
sr-00010,USED_WITH,sk-cash-handling,sk-sales
sr-00011,RELATED_TO,sk-inventory-management,sk-warehouse-operations
sr-00012,RELATED_TO,sk-forklift-operation,sk-warehouse-operations
sr-00013,RELATED_TO,sk-machine-operation,sk-production-work
sr-00014,RELATED_TO,sk-assembly,sk-production-work
sr-00015,RELATED_TO,sk-construction-work,sk-assembly
sr-00016,RELATED_TO,sk-early-childhood-education,sk-teaching
sr-00017,RELATED_TO,sk-nursing,sk-patient-care
sr-00018,RELATED_TO,sk-pharmacy,sk-medicine
sr-00019,RELATED_TO,sk-auditing,sk-information-systems
sr-00020,RELATED_TO,sk-insurance-sales,sk-sales
sr-00021,RELATED_TO,sk-cnc-machining,sk-machine-operation
sr-00022,RELATED_TO,sk-welding,sk-production-work
sr-00023,USED_WITH,sk-microsoft-office,sk-administration
sr-00024,RELATED_TO,sk-payroll-administration,sk-administration
sr-00025,RELATED_TO,sk-debt-collection,sk-administration
sr-00026,RELATED_TO,sk-it-infrastructure,sk-information-technology
sr-00027,RELATED_TO,sk-vehicle-diagnostics,sk-mechanical-repair
sr-00028,RELATED_TO,sk-business-management,sk-management
sr-00029,RELATED_TO,sk-truck-driving,sk-driving
sr-00030,RELATED_TO,sk-van-driving,sk-driving
sr-00031,RELATED_TO,sk-biology,sk-teaching
sr-00032,RELATED_TO,sk-chemistry,sk-teaching
sr-00033,RELATED_TO,sk-physics,sk-teaching
sr-00034,RELATED_TO,sk-mathematics,sk-teaching
sr-00035,RELATED_TO,sk-geography,sk-teaching
sr-00036,RELATED_TO,sk-history,sk-teaching
sr-00037,RELATED_TO,sk-psychology,sk-teaching
sr-00038,RELATED_TO,sk-philosophy,sk-teaching
sr-00039,RELATED_TO,sk-art-education,sk-teaching
sr-00040,RELATED_TO,sk-music-education,sk-teaching
sr-00041,RELATED_TO,sk-physical-education,sk-teaching
sr-00042,RELATED_TO,sk-computer-science,sk-teaching
sr-00043,RELATED_TO,sk-primary-education,sk-teaching
sr-00044,RELATED_TO,sk-special-education,sk-teaching
sr-00045,RELATED_TO,sk-technical-education,sk-teaching
sr-00046,RELATED_TO,sk-communication,sk-customer-service
sr-00047,RELATED_TO,sk-communication,sk-sales
sr-00048,RELATED_TO,sk-communication,sk-teaching
sr-00049,RELATED_TO,sk-driving-instruction,sk-teaching
sr-00050,RELATED_TO,sk-driving-instruction,sk-driving
sr-00051,RELATED_TO,sk-croatian-language,sk-slovenian-language
