jobId,sourceJobKey
"job-00003","null|kuhar, ljubljana|ljubljana, central slovenia"
"job-00008","adecco|kuhar (m/ž)|ljubljana, central slovenia"
"job-00017","null|dietni kuhar iv v zsv, šifra dm: f094075 - m/ž|grosuplje, central slovenia"
"job-00020","null|kuhar/kuharica - priložnost za upokojence, ljubljana|ljubljana, central slovenia"
"job-00023","null|kuhar iv - m/ž|ljubljana, central slovenia"
"job-00030","gostilna turk izidor zelenc s.p.|kuhar - m/ž|logatec, central slovenia"
"job-00031","null|glavni kuhar - m/ž|ljubljana, central slovenia"
"job-00032","daneks storitve in trgovina d.o.o. ljubljana|kuhar - m/ž|ljubljana, central slovenia"
"job-00034","null|kuhar v gostišču jezero ob planšarskem jezeru na jezerskem - m/ž|kranj, upper carniola"
"job-00040","jezersek gostinstvo d.o.o.|kuhar - m/ž|radovljica, upper carniola"
"job-00043","null|dietni kuhar iv v zsv - m/ž|škofja loka, upper carniola"
"job-00053","null|dietni kuhar iv v zsv - m/ž|žalec, savinja"
"job-00055","null|kuhar - terme zreče - m/ž|slovenske konjice, savinja"
"job-00056","null|kuhar specialist - terme zreče - m/ž|slovenske konjice, savinja"
"job-00057","null|dietni kuhar - m/ž|mozirje, savinja"
"job-00058","null|kuhar - m/ž|mozirje, savinja"
"job-00060","thermana|kuhar (m/ž)|laško, savinja"
"job-00061","null|kuhar - hotel planja - m/ž|slovenske konjice, savinja"
"job-00062","null|kuhar specialist - hotel natura - m/ž|slovenske konjice, savinja"
"job-00063","null|kuhar specialist - hotel planja - m/ž|slovenske konjice, savinja"
"job-00064","null|kuhar ( mesar)- hotel planja - m/ž|slovenske konjice, savinja"
"job-00065","null|kuhar iv (šifra dm 2237) v zpkz dob, sektorju za splošne in pravne zadeve, oddelku hišnih del, referatu za prehrano obsojencev. - m/ž|trebnje, southeast slovenia"
"job-00066","slorest|samostojni kuhar (m/ž), novo mesto|novo mesto, southeast slovenia"
"job-00067","null|kuhar iv v zavodu za prestajanje kazni zapora dob|mirna, southeast slovenia"
"job-00070","kmetijska zadruga trebnje-krka z.o.o.|kuhar m/ž - m/ž|trebnje, southeast slovenia"
"job-00073","null|kuhar - m/ž|novo mesto, southeast slovenia"
"job-00083","null|dietni kuhar - m/ž|idrija, gorizia"
"job-00084","null|kuhar-picopek - m/ž|brežice, lower sava"
"job-00086","terme čatež|kuhar - m/ž|brežice, lower sava"
"job-00087","terme čatež|pomožni kuhar - m/ž|brežice, lower sava"
"job-00097","null|kuhar m/ž - m/ž|lendava, mura"
"job-00098","null|kuhar m/ž - m/ž|murska sobota, mura"
"job-00099","gostilna picerija kostanj, matej znuderl, s.p.|kuhar - m/ž|gornja radgona, mura"
"job-00102","null|kuharica/kuhar - m/ž|gornja radgona, mura"
"job-00113","sovita|kuhar - delilec, m/ž, šentjanž pri dravogradu|dravograd, carinthia"
"job-00120","jata emona|proizvodni delavec na farmi ali v sortirnici na duplici pri kamniku|kamnik, central slovenia"
"job-00139","iskra, elektro in sistemske resitve, d.o.o.|proizvodni delavec - šentvid pri stični - m/ž|grosuplje, central slovenia"
"job-00143","null|pomožni proizvodni delavec - m/ž|radovljica, upper carniola"
"job-00145","null|višji proizvodni delavec - m/ž|škofja loka, upper carniola"
"job-00146","null|proizvodni delavec - m/ž|radovljica, upper carniola"
"job-00154","null|proizvodni delavec (m/ž)|železniki, upper carniola - škofja loka, upper carniola"
"job-00163","null|proizvodni delavec - m/ž|žalec, savinja"
"job-00176","null|proizvodni delavec - m/ž|trebnje, southeast slovenia"
"job-00177","null|proizvodni delavec - m/ž|novo mesto, southeast slovenia"
"job-00178","null|terenski proizvodni delavec - m/ž|novo mesto, southeast slovenia"
"job-00182","null|proizvodni delavec - m/ž|metlika, southeast slovenia"
"job-00187","null|proizvodni delavec za srednje zahtevna dela (m/ž) - m/ž|tolmin, gorizia"
"job-00189","null|terenski proizvodni delavec v pe dobova - m/ž|brežice, lower sava"
"job-00191","null|proizvodni delavec - m/ž|brežice, lower sava"
"job-00194","null|proizvodni delavec - m/ž|cerknica, inner carniola-karst"
"job-00197","cimos d.d. avtomobilska industrija|proizvodni delavec v livarni - m/ž|radlje ob dravi, carinthia"
"job-00198","null|proizvodni delavec - m/ž|sežana, coastal-karst"
"job-00201","null|diplomirana medicinska sestra (m/ž)|ljubljana, central slovenia"
"job-00203","null|diplomirana medicinska sestra - dragomer - m/ž|ljubljana, central slovenia"
"job-00207","univerzitetna psihiatrična klinika ljubljana|diplomirana medicinska sestra v psihiatriji v bolnišnični dejavnosti|ljubljana, central slovenia"
"job-00213","univerzitetna psihiatrična klinika ljubljana|diplomirana medicinska sestra v intenzivnih oddelkih psihiatrije|ljubljana, central slovenia"
"job-00214","null|diplomirana medicinska sestra (m/ž) - lj. črnuče - m/ž|ljubljana, central slovenia"
"job-00229","null|diplomirana medicinska sestra - m/ž|ljubljana, central slovenia"
